statut_commercialisation,specialite,dosage,forme,presentation,class_therapeutique,PPV
Retiré du Marché,OLICLINOMEL N4-550 E,"9,11  /  5,06  /  4,54  /  2,11  /  2,64  /  3,22  /  2,55  /  1,76  /  2,46  /  2,99  /  2,20  /  1,85  /  0,79  /  0,18  /  2,55  /  1,96  /  4,29  /  2,38  /  0,90  /  160  /  0,59 G",EMULSION ET SOLUTION POUR PERFUSION,POCHE DE 2 LITRES,ANESTHESIE-REANIMATION,506
Retiré du Marché,OLICLINOMEL N6-900 E,"14,08  /  7,82  /  7,01  /  3,26  /  4,08  /  4,97  /  3,94  /  2,72  /  3,81  /  4,62  /  3,40  /  2,86  /  1,22  /  0,27  /  3,94  /  4,90  /  3,58  /  0,90  /  240  /  0,59",EMULSION ET SOLUTION POUR PERFUSION,POCHE DE 2 L,ANESTHESIE-REANIMATION,548
Retiré du Marché,OLICLINOMEL N7-1000 E,"16,56  /  9,20  /  8,24  /  3,84  /  4,80  /  5,84  /  4,64  /  3,20  /  4,48  /  5,44  /  4  /  3,36  /  1,44  /  0,32  /  4,64  /  4,90  /  4,29  /  3,58  /  0,90  /  320  /  0,59",EMULSION ET SOLUTION POUR PERFUSION,POCHE DE 1 L,ANESTHESIE-REANIMATION,379
Retiré du Marché,OLICLINOMEL N7-1000 E,"16,56  /  9,20  /  8,24  /  3,84  /  4,80  /  5,84  /  4,64  /  3,20  /  4,48  /  5,44  /  4  /  3,36  /  1,44  /  0,32  /  4,64  /  4,90  /  4,29  /  3,58  /  0,90  /  320  /  0,59",EMULSION ET SOLUTION POUR PERFUSION,POCHE DE 2 L,ANESTHESIE-REANIMATION,576
Commercialisé,OPSUMIT,10   MG,COMPRIME PELLICULE,BOITE DE 30,PNEUMO-ALLERGO-PHTYSIOLOGIE,26000
Non Commercialisé,OXALIPLATINE HOSPIRA,200   MG  /  40  ML,SOLUTION POUR PERFUSION,FLACON DE 40 ML,CANCEROLOGIE-HEMATOLOGIE,1701
Commercialisé,OZURDEX,700 µG,IMPLANT INTRAVITRE EN AVEC APPLICATEUR,BOITE UNITAIRE,OPHTALMOLOGIE,9959
Commercialisé AO,PEP-RANI,50   MG  /  2  ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULES DE 2 ML,GASTRO-ENTERO-HEPATOLOGIE,"51,4"
Commercialisé,PRILVAS,20   MG,COMPRIME,BOITE DE 28,-,"66,4"
Commercialisé,PRILVAS,5   MG,COMPRIME,BOITE DE 28,-,"51,8"
Commercialisé,PRISDAL,1   MG,COMPRIME PELLICULE,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,"77,6"
Commercialisé,PRISDAL,2   MG,COMPRIME PELLICULE,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,"138,6"
Commercialisé,PRISDAL,3   MG,COMPRIME PELLICULE,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,192
Commercialisé,PRISDAL,4   MG,COMPRIME PELLICULE,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,274
Commercialisé,PRISDAL,"0,5   MG",COMPRIME PELLICULE,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,"30,4"
Non Commercialisé,PROCLOR,20   MG,GELULE,BOITE DE 30,GASTRO-ENTERO-HEPATOLOGIE,"102,1"
Commercialisé,PROTON,20   MG,GELULE,BOITE DE 14,GASTRO-ENTERO-HEPATOLOGIE,"49,3"
Commercialisé,PROTON,20   MG,GELULE,BOITE DE 28,GASTRO-ENTERO-HEPATOLOGIE,"95,3"
Retiré du Marché,REMOX,"0,01",CREME,TUBE DE 20 G,-,"18,1"
Retiré du Marché,REMOX,"0,01",CREME,TUBE DE 50 G,-,"36,2"
Commercialisé,REMOX,20   MG,COMPRIME DISPERSIBLE,BOITE DE 10,ANESTHESIE-REANIMATION,39
Commercialisé,REMOX,20   MG,GELULE,BOITE DE 10,ANESTHESIE-REANIMATION,"37,2"
Commercialisé,REMOX,20   MG,SUPPOSITOIRE,BOITE DE 12,ANESTHESIE-REANIMATION,42
Commercialisé,SEPTIL,0,POUDRE POUR USAGE EXTERNE,FLACON 10 G,DERMATOLOGIE-VENEROLOGIE,"13,1"
Retiré du Marché,SERVETINAL,0,POUDRE ORALE EN FLACON,FLACON DE 100 G,-,"14,2"
Non Commercialisé,COSTARVAL,"160   MG  /  12,5   MG",COMPRIME PELLICULE,BOITE DE 14,CARDIOLOGIE-ANGEIOLOGIE,"74,1"
Commercialisé,COSTARVAL,"160   MG  /  12,5   MG",COMPRIME PELLICULE,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,"131,4"
Commercialisé,TANZAAR,100   MG,COMPRIME PELLICULE,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,"138,1"
Commercialisé,TANZAAR,50   MG,COMPRIME PELLICULE,BOITE DE 14,CARDIOLOGIE-ANGEIOLOGIE,40
Commercialisé,TANZAAR,50   MG,COMPRIME PELLICULE,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,"77,2"
Commercialisé,TECPRIL,"1,25   MG",GELULE,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,40
Commercialisé,TECPRIL,10   MG,GELULE,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,120
Commercialisé,TECPRIL,"2,5   MG",GELULE,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,50
Commercialisé,TECPRIL,5   MG,GELULE,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,63
Retiré du Marché,TIBOLONE AFRIC-PHAR,"2,5   MG",COMPRIME,BOITE DE 28,-,155
Non Commercialisé,TOMUDEX,2   MG,LYOPHILISAT,BOITE DE 1 FLACON DE 5 ML,CANCEROLOGIE-HEMATOLOGIE,1715
Commercialisé AO,TRETACNE,10   MG,CAPSULE MOLLE,BOITE DE 30,DERMATOLOGIE-VENEROLOGIE,"140,2"
Non Commercialisé,TRETACNE,20   MG,CAPSULE MOLLE,BOITE DE 30,DERMATOLOGIE-VENEROLOGIE,233
Commercialisé AO,TRETACNE,5   MG,CAPSULE MOLLE,BOITE DE 30,DERMATOLOGIE-VENEROLOGIE,"84,1"
Commercialisé,TRINOMYC,2   MG  /   ML,SOLUTION POUR PERFUSION,FLACON DE 100 MG / 50 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"62,8"
Commercialisé AO,TRINOMYC,2   MG  /   ML,SOLUTION POUR PERFUSION,FLACON DE 50 MG / 25 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"72,9"
Commercialisé,TRINOMYC,2   MG  /   ML,SOLUTION POUR PERFUSION,FLACON DE 200 MG / 100 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,250
Commercialisé AO,TRINOMYC,2   MG  /   ML,SOLUTION POUR PERFUSION,FLACON DE 400 MG / 200 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,425
Commercialisé,TUNELUZ,20   MG,GELULE,BOITE DE 10,NEUROLOGIE-PSYCHIATRIE,"66,7"
Commercialisé,TUNELUZ,20   MG,GELULE,BOITE DE 20,NEUROLOGIE-PSYCHIATRIE,"133,9"
Commercialisé,TUNELUZ,20   MG,GELULE,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,"176,7"
Non Commercialisé,TUNELUZ,20   MG,GELULE,BOITE DE 60,NEUROLOGIE-PSYCHIATRIE,341
Commercialisé,UNIZITRO,200   MG  /  5  ML,SUSPENSION BUVABLE,FLACON DE 15 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"58,9"
Commercialisé,UNIZITRO,200   MG  /  5  ML,SUSPENSION BUVABLE,FLACON DE 30 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"71,9"
Commercialisé,UNIZITRO,500   MG,COMPRIME PELLICULE,BOITE DE 3,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"67,3"
Commercialisé,VELAXOR LP,"37,5   MG",GELULE A LIBERATION PROLONGEE,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,"74,6"
Commercialisé,VELAXOR LP,75   MG,GELULE A LIBERATION PROLONGEE,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,"94,4"
Commercialisé,VIRPES,"0,05",CREME,TUBE DE 10 G,DERMATOLOGIE-VENEROLOGIE,"37,4"
Commercialisé,VIRPES,200   MG,COMPRIME,BOITE DE 25,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"91,1"
Commercialisé,VIRPES,400   MG,COMPRIME,BOITE DE 25,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,242
Commercialisé,VIRPES,80   MG  /   ML,SUSPENSION BUVABLE,BOITE DE 1 FLACON DE 100 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"186,9"
Commercialisé,VIRPES,800   MG,COMPRIME,BOITE DE 12,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,247
Commercialisé,VIRPES,800   MG,COMPRIME,BOITE DE 25,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,385
Commercialisé AO,ZYLAX,400   MG,COMPRIME PELLICULE,BOITE DE 25,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,514
Commercialisé,ZYLAX,400   MG,COMPRIME PELLICULE,BOITE DE 5,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"130,3"
Retiré du Marché,ZYLAX,400   MG,COMPRIME PELLICULE,BOITE DE 50,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,927
Commercialisé,ZYLAX,400   MG,COMPRIME PELLICULE,BOITE DE 7,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"182,5"
Non Commercialisé,ZYMAXID,"0,005",COLLYRE EN SOLUTION,"BOITE D'UN FLACON DE 2,5 ML",OPHTALMOLOGIE,"99,7"
Commercialisé,ACIDE ALENDRONIQUE GT,70   MG,COMPRIME PELLICULE,BOITE DE 4,RHUMATOLOGIE,"164,5"
Commercialisé,AZITHRIX,200   MG  /  5  ML,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 15 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"59,2"
Commercialisé,AZITHRIX,200   MG  /  5  ML,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 30 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"92,5"
Commercialisé,AZITHRIX,500   MG,COMPRIME PELLICULE,BOITE DE 3,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"74,5"
Retiré du Marché,BICALUTAMIDE GT,150   MG,COMPRIME PELLICULE,BOITE DE 20,-,1144
Retiré du Marché,BICALUTAMIDE GT,150   MG,COMPRIME PELLICULE,BOITE DE 60,-,2578
Non Commercialisé,BICALUTAMIDE GT,50   MG,COMPRIME PELLICULE,BOITE DE 20,UROLOGIE-NEPHROLOGIE,326
Commercialisé,BICALUTAMIDE GT,50   MG,COMPRIME PELLICULE,BOITE DE 30,UROLOGIE-NEPHROLOGIE,478
Commercialisé,BICALUTAMIDE GT,50   MG,COMPRIME PELLICULE,BOITE DE 60,UROLOGIE-NEPHROLOGIE,903
Commercialisé,BRONCOLIBER,120   MG,GELULE A LIBERATION PROLONGEE,BOITE DE 20,PNEUMO-ALLERGO-PHTYSIOLOGIE,"70,1"
Commercialisé,BRONCOLIBER,"15   MG  /  5  ML (0,30%)",SOLUTION BUVABLE,FLACON DE 200 ML,PNEUMO-ALLERGO-PHTYSIOLOGIE,28
Commercialisé,BRONCOLIBER,"30   MG  /  5  ML (0,6%)",SOLUTION BUVABLE,FLACON DE 200 ML,PNEUMO-ALLERGO-PHTYSIOLOGIE,"47,7"
Commercialisé,BRONCOLIBER,120   MG,GELULE,BOITE DE 10,PNEUMO-ALLERGO-PHTYSIOLOGIE,"36,6"
Commercialisé,BRONCOTEC,12 µG,GELULE POUR INHALATION,BOITE DE 60,PNEUMO-ALLERGO-PHTYSIOLOGIE,"197,9"
Commercialisé,CIPROFLOXACINE GT,2   MG  /   ML,SOLUTION POUR PERFUSION,BOITE D'UN FLACON DE 100 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"133,6"
Commercialisé,CLOPIDOGREL GT,75   MG,COMPRIME PELLICULE,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,255
Commercialisé,CLOPIDOGREL GT,75   MG,COMPRIME PELLICULE,BOITE DE 60,CARDIOLOGIE-ANGEIOLOGIE,447
Commercialisé,COERIL,4   MG,COMPRIME SECABLE,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,90
Commercialisé,COERIL,8   MG,COMPRIME SECABLE,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"142,7"
Commercialisé,CONVERTAL,25   MG,COMPRIME,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"91,8"
Commercialisé,CONVERTAL,50   MG,COMPRIME,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"164,2"
Commercialisé,CORONAT,25   MG,COMPRIME,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"88,1"
Commercialisé,CORONAT,"6,25   MG",COMPRIME,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"43,8"
Commercialisé,DEFLAZACORTE GT,30   MG,COMPRIME SECABLE,BOITE DE 10,ANESTHESIE-REANIMATION,"96,9"
Retiré du Marché,DEFLAZACORTE GT,30   MG,COMPRIME SECABLE,BOITE DE 60,-,502
Commercialisé,DEFLAZACORTE GT,6   MG,COMPRIME SECABLE,BOITE DE 60,ANESTHESIE-REANIMATION,"128,2"
Commercialisé,DESOMEDINE,"0,001",COLLYRE,FLACON DE 10 ML,OPHTALMOLOGIE,"26,1"
Commercialisé,FINASTERIDE GT,5   MG,COMPRIME PELLICULE,BOITE DE 30,UROLOGIE-NEPHROLOGIE,"177,6"
Non Commercialisé,FLUCONAZOLE GT,150   MG,GELULE,BOITE DE 2,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"31,8"
Non Commercialisé,FLUCONAZOLE GT,200   MG,GELULE,BOITE DE 14,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,239
Commercialisé,GABAMOX,300   MG,GELULE,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,"109,1"
Commercialisé,GABAMOX,400   MG,GELULE,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,"155,1"
Non Commercialisé,GASTROLIBER,30   MG,GELULE,BOITE DE 15,GASTRO-ENTERO-HEPATOLOGIE,"70,1"
Commercialisé,GIROFLOX,250   MG,COMPRIME PELLICULE,BOITE DE 16,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"72,4"
Commercialisé,GIROFLOX,250   MG,COMPRIME PELLICULE,BOITE DE 8,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"41,1"
Commercialisé,GIROFLOX,500   MG,COMPRIME PELLICULE,BOITE DE 16,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"119,6"
Non Commercialisé,HIPERDINE,20   MG,COMPRIME,BOITE DE 20,CARDIOLOGIE-ANGEIOLOGIE,"78,1"
Non Commercialisé,HIPERDINE,20   MG,COMPRIME,BOITE DE 60,CARDIOLOGIE-ANGEIOLOGIE,228
Commercialisé,HYPRIL,"20   MG  /  12,5   MG",COMPRIME,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"71,5"
Commercialisé,LETROZOLE GT,"2,5   MG",COMPRIME PELLICULE,BOITE DE 30,CANCEROLOGIE-HEMATOLOGIE,713
Commercialisé,LETROZOLE GT,"2,5   MG",COMPRIME PELLICULE,BOITE DE 60,CANCEROLOGIE-HEMATOLOGIE,1110
Non Commercialisé,LEVOFLOXACINE GT,250   MG,COMPRIME PELLICULE,BOITE DE 10,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"79,4"
Non Commercialisé,LEVOFLOXACINE GT,5   MG  /   ML,SOLUTION POUR PERFUSION,BOITE D'UN FLACON DE 100 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,248
Non Commercialisé,LEVOFLOXACINE GT,500   MG,COMPRIME PELLICULE,BOITE DE 7,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"103,7"
Commercialisé,LOSARTAN / HYDROCHLOROTHIAZIDE GT,"50   MG  /  12,5   MG",COMPRIME PELLICULE,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"114,3"
Commercialisé,LOSARTAN GT,100   MG,COMPRIME PELLICULE,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,148
Commercialisé,LOSARTAN GT,50   MG,COMPRIME PELLICULE,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"82,7"
Commercialisé,MELOXICAM GT,15   MG,COMPRIME SECABLE,BOITE DE 20,ANESTHESIE-REANIMATION,"72,6"
Commercialisé,MELOXICAM GT,"7,5   MG",COMPRIME,BOITE DE 20,ANESTHESIE-REANIMATION,51
Commercialisé,MIBRAL,10   MG,COMPRIME,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"75,9"
Retiré du Marché,MIBRAL,10   MG,COMPRIME,BOITE DE 60,-,"186,5"
Commercialisé,MIBRAL,5   MG,COMPRIME,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"51,8"
Retiré du Marché,MIBRAL,5   MG,COMPRIME,BOITE DE 60,-,125
Non Commercialisé,MIDAZOLAM GT,5   MG  /  5  ML,SOLUTION INJECTABLE,BOITE DE 10 AMPOULES DE 5 ML,ANESTHESIE-REANIMATION,"115,2"
Commercialisé,MODINE,10   MG  /  50  ML,SOLUTION POUR PERFUSION,FLACON DE 50 ML,NEUROLOGIE-PSYCHIATRIE,"162,4"
Commercialisé,MODINE,30   MG,COMPRIME PELLICULE,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,"130,5"
Commercialisé,MODINE,30   MG,COMPRIME PELLICULE,BOITE DE 60,NEUROLOGIE-PSYCHIATRIE,260
Commercialisé,ONDANSETRON GT,8   MG  /  4  ML,SOLUTION INJECTABLE,BOITE DE 1 AMPOULE DE 4 ML,CANCEROLOGIE-HEMATOLOGIE,"87,8"
Commercialisé,ONDANSETRON GT,8   MG  /  4  ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULES DE 4 ML,CANCEROLOGIE-HEMATOLOGIE,565
Commercialisé,PANTOPRAZOLE GT,20   MG,COMPRIME GASTRO-RESISTANT,BOITE DE 10,GASTRO-ENTERO-HEPATOLOGIE,"48,1"
Commercialisé,PANTOPRAZOLE GT,20   MG,COMPRIME GASTRO-RESISTANT,BOITE DE 20,GASTRO-ENTERO-HEPATOLOGIE,"85,9"
Commercialisé,PANTOPRAZOLE GT,40   MG,COMPRIME GASTRO-RESISTANT,BOITE DE 10,GASTRO-ENTERO-HEPATOLOGIE,"70,1"
Commercialisé,PANTOPRAZOLE GT,40   MG,COMPRIME GASTRO-RESISTANT,BOITE DE 20,GASTRO-ENTERO-HEPATOLOGIE,"133,5"
Non Commercialisé,PAROXETINE GT,20   MG,COMPRIME PELLICULE,FLACON DE 20,NEUROLOGIE-PSYCHIATRIE,"82,2"
Non Commercialisé,PAROXETINE GT,20   MG,COMPRIME PELLICULE,FLACON DE 10,NEUROLOGIE-PSYCHIATRIE,"43,3"
Commercialisé,PAROXETINE GT,20   MG,COMPRIME PELLICULE,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,"117,8"
Retiré du Marché,PRAVASTATINE GT,10   MG,COMPRIME,PILLULIER DE 30,-,"67,1"
Retiré du Marché,PRAVASTATINE GT,20   MG,COMPRIME,PILLULIER DE 30,-,121
Non Commercialisé,PROCLOR,20   MG,GELULE,BOITE DE 15,GASTRO-ENTERO-HEPATOLOGIE,"52,8"
Non Commercialisé,ROMAZIDE,"2,5   MG  /  12,5   MG",COMPRIME,BOITE DE 14,CARDIOLOGIE-ANGEIOLOGIE,55
Non Commercialisé,ROMAZIDE,"2,5   MG  /  12,5   MG",COMPRIME,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,"96,8"
Non Commercialisé,ROMAZIDE,5   MG  /  25   MG,COMPRIME,BOITE DE 14,CARDIOLOGIE-ANGEIOLOGIE,"60,1"
Non Commercialisé,ROMAZIDE,5   MG  /  25   MG,COMPRIME,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,"107,5"
Retiré du Marché,REDLIP,20   MG,COMPRIME PELLICULE,BOITE DE 60,-,250
Commercialisé,REDLIP,20   MG,COMPRIME PELLICULE,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"97,6"
Commercialisé,REDLIP,40   MG,COMPRIME PELLICULE,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,138
Retiré du Marché,REDLIP,40   MG,COMPRIME PELLICULE,BOITE DE 60,-,384
Commercialisé,RISPERIDONE GT,1   MG,COMPRIME PELLICULE,BOITE DE 10,NEUROLOGIE-PSYCHIATRIE,"26,8"
Commercialisé,RISPERIDONE GT,1   MG,COMPRIME PELLICULE,BOITE DE 60,NEUROLOGIE-PSYCHIATRIE,"138,7"
Commercialisé,RISPERIDONE GT,2   MG,COMPRIME PELLICULE,BOITE DE 10,NEUROLOGIE-PSYCHIATRIE,"47,8"
Commercialisé,RISPERIDONE GT,2   MG,COMPRIME PELLICULE,BOITE DE 60,NEUROLOGIE-PSYCHIATRIE,247
Commercialisé,RISPERIDONE GT,3   MG,COMPRIME PELLICULE,BOITE DE 10,NEUROLOGIE-PSYCHIATRIE,"66,3"
Commercialisé,RISPERIDONE GT,3   MG,COMPRIME PELLICULE,BOITE DE 60,NEUROLOGIE-PSYCHIATRIE,322
Commercialisé,SERTRALINE GT,100   MG,COMPRIME PELLICULE,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,167
Commercialisé,SERTRALINE GT,50   MG,COMPRIME PELLICULE,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,"103,4"
Commercialisé,SUPRIMASE,150   MG,GELULE,BOITE DE 4,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"73,8"
Commercialisé,SUPRIMASE,150   MG,GELULE,BOITE UNITAIRE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"22,4"
Commercialisé,SUPRIMASE,50   MG,GELULE,BOITE DE 7,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"78,3"
Commercialisé,SUPRIMASE DUO,150   MG,GELULE,BOITE DE 2,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"39,5"
Commercialisé,TAMOXIFENE GT,20   MG,COMPRIME,BOITE DE 30,CANCEROLOGIE-HEMATOLOGIE,"124,3"
Non Commercialisé,ONYCAL,250   MG,COMPRIME SECABLE,BOITE DE 14,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"132,7"
Non Commercialisé,ONYCAL,250   MG,COMPRIME SECABLE,BOITE DE 28,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,251
Non Commercialisé,ONYCAL,250   MG,COMPRIME SECABLE,BOITE DE 7,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"70,1"
Commercialisé,TOPIRAMATE GT,100   MG,COMPRIME PELLICULE,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,"187,1"
Non Commercialisé,TOPIRAMATE GT,200   MG,COMPRIME PELLICULE,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,391
Commercialisé,TOPIRAMATE GT,25   MG,COMPRIME PELLICULE,BOITE DE 10,NEUROLOGIE-PSYCHIATRIE,"21,1"
Commercialisé,TOPIRAMATE GT,50   MG,COMPRIME PELLICULE,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,"100,9"
Retiré du Marché,ADALATE,10   MG,CAPSULE MOLLE,BOITE DE 100,-,"103,9"
Retiré du Marché,ADALATE,10   MG,CAPSULE MOLLE,BOITE DE 30,-,36
Retiré du Marché,ADALATE RETARD,20   MG,COMPRIME PELLICULE,BOITE DE 20,-,"50,8"
Retiré du Marché,ADALATE RETARD,20   MG,COMPRIME PELLICULE,BOITE DE 50,-,114
Commercialisé,ANDROCUR,50   MG,COMPRIME,BOITE DE 20,UROLOGIE-NEPHROLOGIE,"194,3"
Commercialisé,ANDROTARDYL,250   MG  /   ML,SOLUTE INJECTABLE,BOITE DE 1 AMPOULE DE 1 ML,ENDOCRINOLOGIE ET HORMONES,"37,4"
Non Commercialisé,ASPIRINE BAYER,500   MG,COMPRIME A CROQUER,BOITE DE 10,ANESTHESIE-REANIMATION,"10,1"
Commercialisé,ASPRO,500   MG,COMPRIME EFFERVESCENT,BOITE DE 20,ANESTHESIE-REANIMATION,"15,9"
Commercialisé,AVELOX,400   MG,COMPRIME PELLICULE,BOITE DE 5,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"130,3"
Commercialisé,AVELOX,400   MG,COMPRIME PELLICULE,BOITE DE 7,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"182,7"
Commercialisé,AVELOX,400   MG,SOLUTION INJECTABLE (IV),POCHE DE 250 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,435
Commercialisé,BAYCUTENE N,"1%  /  0,0443%",CREME,TUBE 15 G,DERMATOLOGIE-VENEROLOGIE,"21,3"
Retiré du Marché,BEROCCA,0,COMPRIME EFFERVESCENT,BOITE DE 20,-,70
Retiré du Marché,BEROCCA ZINC,"15   MG  /  15   MG  /  10   MG  /  0,01   MG  /  50   MG  /  23   MG  /  0,15   MG  /  500   MG  /  0,4   MG  /  100   MG 2  /  100   MG 3  /  10   MG",COMPRIME EFFERVESCENT,BOITE DE 10,-,"42,1"
Retiré du Marché,BEROCCA ZINC,"15   MG  /  15   MG  /  10   MG  /  0,01   MG  /  50   MG  /  23   MG  /  0,15   MG  /  500   MG  /  0,4   MG  /  100   MG 2  /  100   MG 3  /  10   MG",COMPRIME EFFERVESCENT,BOITE DE 20,-,"84,2"
Commercialisé,BETAFERON,250 µG  /   ML,POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,BOITE DE 15 FLACONS ET 15 SERINGUES,NEUROLOGIE-PSYCHIATRIE,8480
Retiré du Marché,BONEFOS,800   MG,COMPRIME PELLICULE,BOITE DE 100,-,2872
Commercialisé,MYCOHYDRALIN,"0,01",CREME,TUBE DE 30 G,DERMATOLOGIE-VENEROLOGIE,"33,6"
Non Commercialisé,CANESTENE,"0,01",SOLUTION POUR USAGE EXTERNE,FLACON DE 20 ML,DERMATOLOGIE-VENEROLOGIE,"23,8"
Commercialisé,CARDIOASPIRINE,100   MG,COMPRIME,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"27,7"
Retiré du Marché,CHRONOADALATE LP,20   MG,COMPRIME PELLICULE,BOITE DE 30,-,112
Retiré du Marché,CHRONOADALATE LP,20   MG,COMPRIME PELLICULE,BOITE DE 10,-,"43,9"
Non Commercialisé,CHRONOADALATE LP,30   MG,COMPRIME PELLICULE,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"126,8"
Retiré du Marché,CHRONOADALATE LP,30   MG,COMPRIME PELLICULE,BOITE DE 10,-,"68,6"
Retiré du Marché,CHRONOADALATE LP,60   MG,COMPRIME PELLICULE,BOITE DE 30,-,"180,5"
Retiré du Marché,CHRONOADALATE LP,60   MG,COMPRIME PELLICULE,BOITE DE 10,-,"48,2"
